timestamp,system_memory_total_mb,system_memory_used_mb,system_memory_percent,system_memory_available_mb,swap_total_mb,swap_used_mb,swap_percent,sharewarez_processes_count,sharewarez_total_rss_mb,sharewarez_total_vms_mb,process_details
2025-09-06 13:15:43,64224.31,45748.48,73.6,16965.0,4096.0,3760.69,91.8,15,615.88,4059.98,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):121.45 MB; PID2554148(python3):82.32 MB; PID2554149(python3):85.62 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):17.56 MB; PID2554162(postgres):24.44 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):26.30 MB; PID2554769(postgres):20.32 MB; PID2554770(postgres):24.91 MB; PID2555089(postgres):20.09 MB; PID2555090(postgres):20.11 MB; PID2555092(postgres):19.25 MB
2025-09-06 13:15:48,64224.31,45827.49,73.7,16885.96,4096.0,3760.5,91.8,17,686.92,4581.66,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):126.70 MB; PID2554148(python3):82.32 MB; PID2554149(python3):85.62 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):17.56 MB; PID2554162(postgres):24.44 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.34 MB; PID2554769(postgres):23.38 MB; PID2554770(postgres):25.48 MB; PID2555089(postgres):24.18 MB; PID2555090(postgres):23.68 MB; PID2555092(postgres):24.84 MB; PID2555094(postgres):23.61 MB; PID2555095(postgres):24.26 MB
2025-09-06 13:15:53,64224.31,43375.56,69.0,19921.88,4096.0,3769.5,92.0,19,752.57,5317.55,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):135.51 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.34 MB; PID2554769(postgres):24.51 MB; PID2554770(postgres):26.83 MB; PID2555089(postgres):24.18 MB; PID2555090(postgres):24.27 MB; PID2555092(postgres):24.84 MB; PID2555094(postgres):23.61 MB; PID2555095(postgres):26.50 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):19.75 MB
2025-09-06 13:15:58,64224.31,41754.3,67.3,20994.75,4096.0,3786.49,92.4,20,789.09,6020.84,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):146.39 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.34 MB; PID2554769(postgres):24.51 MB; PID2554770(postgres):27.23 MB; PID2555089(postgres):24.94 MB; PID2555090(postgres):24.27 MB; PID2555092(postgres):24.84 MB; PID2555094(postgres):24.23 MB; PID2555095(postgres):26.50 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):19.75 MB; PID2555192(postgres):23.86 MB
2025-09-06 13:16:03,64224.31,38796.84,62.7,23956.78,4096.0,3790.92,92.6,20,845.43,6189.0,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):200.16 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.34 MB; PID2554769(postgres):24.51 MB; PID2554770(postgres):27.23 MB; PID2555089(postgres):25.32 MB; PID2555090(postgres):24.27 MB; PID2555092(postgres):25.25 MB; PID2555094(postgres):24.23 MB; PID2555095(postgres):27.25 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):19.75 MB; PID2555192(postgres):24.88 MB
2025-09-06 13:16:08,64224.31,35711.77,57.9,27034.51,4096.0,3803.41,92.9,20,847.82,6157.16,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):200.35 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.77 MB; PID2554769(postgres):24.89 MB; PID2554770(postgres):27.23 MB; PID2555089(postgres):25.73 MB; PID2555090(postgres):24.27 MB; PID2555092(postgres):26.05 MB; PID2555094(postgres):24.23 MB; PID2555095(postgres):27.25 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):19.75 MB; PID2555192(postgres):25.06 MB
2025-09-06 13:16:13,64224.31,32721.02,53.2,30042.05,4096.0,3816.91,93.2,20,850.11,6229.18,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):200.91 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.77 MB; PID2554769(postgres):24.89 MB; PID2554770(postgres):27.23 MB; PID2555089(postgres):25.73 MB; PID2555090(postgres):24.27 MB; PID2555092(postgres):26.05 MB; PID2555094(postgres):24.42 MB; PID2555095(postgres):27.63 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):19.75 MB; PID2555192(postgres):26.22 MB
2025-09-06 13:16:18,64224.31,30268.75,49.4,32477.62,4096.0,3830.65,93.5,20,854.05,6301.2,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):203.54 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.77 MB; PID2554769(postgres):24.89 MB; PID2554770(postgres):27.43 MB; PID2555089(postgres):26.11 MB; PID2555090(postgres):24.27 MB; PID2555092(postgres):26.24 MB; PID2555094(postgres):24.42 MB; PID2555095(postgres):27.63 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):26.22 MB
2025-09-06 13:16:23,64224.31,30493.06,49.8,32270.05,4096.0,3884.14,94.8,20,864.05,6333.48,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):212.72 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.77 MB; PID2554769(postgres):24.89 MB; PID2554770(postgres):27.43 MB; PID2555089(postgres):26.11 MB; PID2555090(postgres):24.27 MB; PID2555092(postgres):27.05 MB; PID2555094(postgres):24.42 MB; PID2555095(postgres):27.63 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):26.22 MB
2025-09-06 13:16:29,64224.31,27943.59,45.8,34817.26,4096.0,3906.13,95.4,21,896.44,6596.36,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):223.22 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.77 MB; PID2554769(postgres):25.08 MB; PID2554770(postgres):27.43 MB; PID2555089(postgres):26.11 MB; PID2555090(postgres):24.27 MB; PID2555092(postgres):27.05 MB; PID2555094(postgres):24.42 MB; PID2555095(postgres):27.63 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):26.22 MB; PID2555575(postgres):21.70 MB
